,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1715,DMOTRY2,Motor vehicles and parts - DMOTRY2,2008_Q3,-0.8,-0.83,0.83,0.83,-0.03,0.03,0.03,5.0,2008,7,2008-07-01
1716,DMOTRY2,Motor vehicles and parts - DMOTRY2,2008_Q4,-1.15,-1.13,1.13,1.13,0.02,0.02,0.02,5.0,2008,10,2008-10-01
1717,DMOTRY2,Motor vehicles and parts - DMOTRY2,2009_Q1,0.44,0.41,0.41,0.41,-0.03,0.03,0.03,5.0,2009,1,2009-01-01
1718,DMOTRY2,Motor vehicles and parts - DMOTRY2,2009_Q2,-0.27,-0.14,0.14,0.14,0.13,0.13,0.13,5.0,2009,4,2009-04-01
1719,DMOTRY2,Motor vehicles and parts - DMOTRY2,2009_Q3,1.01,0.81,0.81,0.81,-0.2,0.2,0.2,5.0,2009,7,2009-07-01
1720,DMOTRY2,Motor vehicles and parts - DMOTRY2,2009_Q4,-0.57,-0.53,0.53,0.53,0.04,0.04,0.04,5.0,2009,10,2009-10-01
1721,DMOTRY2,Motor vehicles and parts - DMOTRY2,2010_Q1,-0.02,-0.02,0.02,0.02,0.0,0.0,0.0,5.0,2010,1,2010-01-01
1722,DMOTRY2,Motor vehicles and parts - DMOTRY2,2010_Q2,0.21,0.15,0.15,0.15,-0.06,0.06,0.06,5.0,2010,4,2010-04-01
1723,DMOTRY2,Motor vehicles and parts - DMOTRY2,2010_Q3,0.03,0.12,0.12,0.12,0.09,0.09,0.09,5.0,2010,7,2010-07-01
1724,DMOTRY2,Motor vehicles and parts - DMOTRY2,2010_Q4,0.9,0.98,0.98,0.98,0.08,0.08,0.08,5.0,2010,10,2010-10-01
1725,DMOTRY2,Motor vehicles and parts - DMOTRY2,2011_Q1,0.32,0.24,0.24,0.24,-0.08,0.08,0.08,5.0,2011,1,2011-01-01
1726,DMOTRY2,Motor vehicles and parts - DMOTRY2,2011_Q2,-0.65,-0.74,0.74,0.74,-0.09,0.09,0.09,5.0,2011,4,2011-04-01
1727,DMOTRY2,Motor vehicles and parts - DMOTRY2,2011_Q3,-0.08,0.04,0.04,0.04,0.12,0.12,0.12,5.0,2011,7,2011-07-01
1728,DMOTRY2,Motor vehicles and parts - DMOTRY2,2011_Q4,0.81,0.83,0.83,0.83,0.02,0.02,0.02,5.0,2011,10,2011-10-01
1729,DMOTRY2,Motor vehicles and parts - DMOTRY2,2012_Q1,0.68,0.52,0.52,0.52,-0.16,0.16,0.16,5.0,2012,1,2012-01-01
1730,DMOTRY2,Motor vehicles and parts - DMOTRY2,2012_Q2,-0.29,-0.26,0.26,0.26,0.03,0.03,0.03,5.0,2012,4,2012-04-01
1731,DMOTRY2,Motor vehicles and parts - DMOTRY2,2012_Q3,0.18,0.25,0.25,0.25,0.07,0.07,0.07,5.0,2012,7,2012-07-01
1732,DMOTRY2,Motor vehicles and parts - DMOTRY2,2012_Q4,0.62,0.53,0.53,0.53,-0.09,0.09,0.09,5.0,2012,10,2012-10-01
1733,DMOTRY2,Motor vehicles and parts - DMOTRY2,2013_Q1,0.27,0.23,0.23,0.23,-0.04,0.04,0.04,5.0,2013,1,2013-01-01
1734,DMOTRY2,Motor vehicles and parts - DMOTRY2,2013_Q2,-0.01,-0.02,0.02,0.02,-0.01,0.01,0.01,5.0,2013,4,2013-04-01
1735,DMOTRY2,Motor vehicles and parts - DMOTRY2,2013_Q3,0.16,0.12,0.12,0.12,-0.04,0.04,0.04,5.0,2013,7,2013-07-01
1736,DMOTRY2,Motor vehicles and parts - DMOTRY2,2013_Q4,0.02,0.0,0.0,0.0,-0.02,0.02,0.02,5.0,2013,10,2013-10-01
1737,DMOTRY2,Motor vehicles and parts - DMOTRY2,2014_Q1,0.02,0.07,0.07,0.07,0.05,0.05,0.05,5.0,2014,1,2014-01-01
1738,DMOTRY2,Motor vehicles and parts - DMOTRY2,2014_Q2,0.42,0.45,0.45,0.45,0.03,0.03,0.03,5.0,2014,4,2014-04-01
1739,DMOTRY2,Motor vehicles and parts - DMOTRY2,2014_Q3,0.25,0.28,0.28,0.28,0.03,0.03,0.03,5.0,2014,7,2014-07-01
1740,DMOTRY2,Motor vehicles and parts - DMOTRY2,2014_Q4,0.16,0.1,0.1,0.1,-0.06,0.06,0.06,5.0,2014,10,2014-10-01
1741,DMOTRY2,Motor vehicles and parts - DMOTRY2,2015_Q1,-0.08,-0.11,0.11,0.11,-0.03,0.03,0.03,5.0,2015,1,2015-01-01
1742,DMOTRY2,Motor vehicles and parts - DMOTRY2,2015_Q2,0.26,0.24,0.24,0.24,-0.02,0.02,0.02,5.0,2015,4,2015-04-01
1743,DMOTRY2,Motor vehicles and parts - DMOTRY2,2015_Q3,0.13,0.08,0.08,0.08,-0.05,0.05,0.05,5.0,2015,7,2015-07-01
1744,DMOTRY2,Motor vehicles and parts - DMOTRY2,2015_Q4,-0.13,-0.15,0.15,0.15,-0.02,0.02,0.02,5.0,2015,10,2015-10-01
